id,barcode,name,category,alert_red,alert_yellow,alert_green,active_flag,created_by,created_date,modified_by,modified_date,code,alert_blue,type
066cceaa0e3511e8ba890ed5f89f718b,0101 1101 51,GOLDEN CHURN BUTTER @2 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cd1020e3511e8ba890ed5f89f718b,0101 1101 52,GOLDEN CHURN BUTTER @340 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cd24c0e3511e8ba890ed5f89f718b,0101 2201 51,"WIJSMAN BUTTER @2,27 KG",8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cd3780e3511e8ba890ed5f89f718b,0101 2201 52,WIJSMAN BUTTER @1 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cd5300e3511e8ba890ed5f89f718b,0101 2201 53,WIJSMAN BUTTER @454 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cd9360e3511e8ba890ed5f89f718b,0101 3301 51,TRIANGLE BUTTER @2 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cda9e0e3511e8ba890ed5f89f718b,0101 3301 52,TRIANGLE BUTTER @340 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cdbd40e3511e8ba890ed5f89f718b,0101 4401 51,"HOLLMAN BUTTER @2,25 KG",8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cdd000e3511e8ba890ed5f89f718b,0101 4401 81,HOLLMAN BUTTER BULK @18 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cde220e3511e8ba890ed5f89f718b,0101 4401 91,HOLLMAN BUTTER REPACKING @1000 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cdf3a0e3511e8ba890ed5f89f718b,0101 4401 92,HOLLMAN BUTTER REPACKING @500 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce0520e3511e8ba890ed5f89f718b,0101 4402 51,"HOLLMAN SOFT CREAM @2,25 KG ",8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce4300e3511e8ba890ed5f89f718b,0101 4402 81,HOLLMAN SOFT CREAM BULK @15 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce5ca0e3511e8ba890ed5f89f718b,0101 4402 91,HOLLMAN SOFT CREAM REPACKING @500 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce7140e3511e8ba890ed5f89f718b,0101 4403 81,HOLLMAN BUTTER CREAM @8 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce82c0e3511e8ba890ed5f89f718b,0101 4403 91,HOLLMAN BUTTER CREAM REPACKING @500 GR ,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066ce9440e3511e8ba890ed5f89f718b,0101 5501 81,CORMAN PATISY BUTTER @17 KG,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
066cea5c0e3511e8ba890ed5f89f718b,0101 5501 91,CORMAN PATISY BUTTER REPACKING @500 GR,8a80cb8160ced63c0160cf016b860000,0,30,180,1,null,2018-02-11 13:13:59,null,2017-12-03 13:13:59,,0,8a80cb815fac8935015fac8cd0ba0000
